rod_x,rod_y,ow_x,ow_y,arrow_x,arrow_y,com_mid_x,com_mid_y
452.42283255176847,147.45897313759068,475.37064159956515,59.531871735030755,454.09083508788615,136.63435186358365,463.89673707566675,103.49542243631072
452.42283255176847,148.13813296925085,475.33731453180286,59.6568046282701,454.0934445711254,136.73154824404082,463.88007354178563,103.89746879876049
452.3221263924581,148.06141308667998,475.3223793026404,59.644856444940146,454.10539275445535,136.7405093815383,463.82225284754924,103.85313476581007
452.30420411746314,148.1271280949948,475.29848293598053,59.623947124112696,454.1024057086229,136.7076518773809,463.80134352672184,103.87553760955373
452.3758932174429,148.08232240750743,475.3343274859704,59.62693416994519,454.10539275445535,136.7076518773809,463.8551103517067,103.85462828872632
452.2743336591382,148.04946490335,475.30445702764547,59.62992121577767,454.0934445711254,136.6986907398834,463.7893953433918,103.83969305956384
452.31017820912814,148.0882964991724,475.3462756693003,59.70161031575746,454.0904575252929,136.7046648315484,463.82822693921423,103.89495340746494
452.346022759118,148.06738717834497,475.307444073478,59.64784349077264,454.1352632127802,136.73154824404082,463.82673341629794,103.8576153345588
452.3191393466256,148.07037422417744,475.31341816514293,59.6329082616102,454.1352632127802,136.71362596904586,463.8162787558843,103.85164124289382
452.3131652549606,148.07037422417744,475.31043111931046,59.65381758243761,454.1352632127802,136.71362596904586,463.8117981871356,103.86209590330753
452.2773207049707,148.07037422417744,475.31341816514293,59.66277871993508,454.1352632127802,136.71362596904586,463.7953694350568,103.86657647205627
452.33108752995554,148.07037422417744,475.31939225680793,59.644856444940146,454.1352632127802,136.71362596904586,463.82523989338176,103.8576153345588
452.340048667453,148.07634831584244,475.29848293598053,59.66875281160006,454.1352632127802,136.71362596904586,463.81926580171677,103.87255056372125
452.31017820912814,148.03751672002005,475.3343274859704,59.64186939910766,454.1352632127802,136.71362596904586,463.82225284754924,103.83969305956386
452.3221263924581,148.0584260408475,475.28653475265054,59.620960078280206,454.1352632127802,136.71362596904586,463.8043305725543,103.83969305956386
452.28926888830074,148.0853094533399,475.3462756693003,59.66875281160006,454.1352632127802,136.71362596904586,463.81777227880053,103.87703113246998
452.3131652549606,148.0584260408475,475.307444073478,59.623947124112696,454.1352632127802,136.71362596904586,463.8103046642193,103.84118658248009
452.2743336591382,148.06141308667998,475.29250884431553,59.62693416994519,454.1352632127802,136.71362596904586,463.78342125172685,103.84417362831259
452.36693207994546,148.07634831584244,475.33731453180286,59.704597361589954,454.1352632127802,136.71362596904586,463.85212330587416,103.89047283871619
452.30719116329567,148.04349081168505,475.301469981813,59.62992121577767,454.1352632127802,136.71362596904586,463.8043305725543,103.83670601373134
452.3251134382906,148.0912835450049,475.3253663484729,59.66576576576757,454.1352632127802,136.71362596904586,463.82523989338176,103.87852465538622
452.30420411746314,148.0912835450049,475.34030157763533,59.644856444940146,454.1352632127802,136.71362596904586,463.82225284754924,103.86806999497252
452.31017820912814,148.06738717834497,475.28952179848307,59.63589530744268,454.1352632127802,136.71362596904586,463.7998500038056,103.85164124289382
452.3549838966155,148.07336127000994,475.3223793026404,59.64784349077264,454.1352632127802,136.71362596904586,463.838681599628,103.86060238039128
452.26238547580823,148.03452967418755,475.3283533943054,59.66277871993508,454.1352632127802,136.71362596904586,463.7953694350568,103.84865419706132
452.33108752995554,148.07037422417744,475.29848293598053,59.67472690326507,454.1352632127802,136.71362596904586,463.814785232968,103.87255056372126
452.3131652549606,148.04349081168505,475.35523680679785,59.64186939910766,454.1352632127802,136.71362596904586,463.8342010308792,103.84268010539635
452.30719116329567,148.07634831584244,475.28653475265054,59.644856444940146,454.1352632127802,136.71362596904586,463.7968629579731,103.86060238039128
452.2713466133057,148.04946490335,475.3343274859704,59.65979167410259,454.1352632127802,136.71362596904586,463.802837049638,103.85462828872632
452.3848543549404,148.0972576366699,475.29250884431553,59.6329082616102,454.1352632127802,136.71362596904586,463.838681599628,103.86508294914005
452.30420411746314,148.05543899501498,475.3223793026404,59.713558499087455,454.1352632127802,136.71362596904586,463.8132917100518,103.88449874705123
452.351996850783,148.07634831584244,475.31043111931046,59.54329688663544,454.1352632127802,136.71362596904586,463.8312139850467,103.80982260123893
452.2803077508033,148.05543899501498,475.29848293598053,59.61498598661523,454.1352632127802,136.71362596904586,463.7893953433919,103.83521249081511
452.32810048412307,148.06440013251247,475.295495890148,59.67771394909756,454.1352632127802,136.71362596904586,463.8117981871356,103.87105704080501
452.30420411746314,148.06738717834497,475.3343274859704,59.62693416994519,454.1352632127802,136.71362596904586,463.81926580171677,103.84716067414507
452.31615230079314,148.0853094533399,475.3283533943054,59.67173985743258,454.1352632127802,136.71362596904586,463.82225284754924,103.87852465538626
452.33108752995554,148.04647785751752,475.31640521097546,59.64186939910766,454.1352632127802,136.71362596904586,463.8237463704655,103.8441736283126
452.3549838966155,148.07933536167494,475.31043111931046,59.63888235327517,454.1352632127802,136.71362596904586,463.832707507963,103.85910885747505
452.2773207049707,148.0524519491825,475.36121089846284,59.67771394909756,454.1352632127802,136.71362596904586,463.81926580171677,103.86508294914002
452.351996850783,148.0853094533399,475.295495890148,59.65381758243761,454.1352632127802,136.71362596904586,463.8237463704655,103.86956351788875
452.26238547580823,148.06738717834497,475.29250884431553,59.620960078280206,454.1352632127802,136.71362596904586,463.77744716006185,103.84417362831259
452.30420411746314,148.0882964991724,475.35523680679785,59.68368804076253,454.1352632127802,136.71362596904586,463.8297204621305,103.88599226996747
452.33108752995554,148.06440013251247,475.35523680679785,59.68368804076253,454.1352632127802,136.71362596904586,463.84316216837675,103.87404408663751
