rod_x,rod_y,ow_x,ow_y,arrow_x,arrow_y,mat_right_x,mat_right_y,mat_left_x,mat_left_y,angle_set_top_x,angle_set_top_y,angle_set_bot_x,angle_set_bot_y,fps,ramp_angle,inter_leg_offset,len_mat_mm,mass,g,no_of_frames,frames,time,bot_left_y,bot_left_x
1514.6163062869564,493.66156867639745,1591.4407352869564,199.30016167639747,1520.2004272869565,457.4230176763974,1479.2069302869565,129.2290456763974,1347.0643662869563,121.35158367639747,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,1,0.004166666666666667,0.0,0.0
1514.6163062869564,495.93525267639745,1591.3291632869564,199.7184106763974,1520.2091632869565,457.74841067639744,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,2,0.008333333333333333,0.0,0.0
1514.2791632869564,495.67841067639745,1591.2791632869564,199.67841067639745,1520.2491632869564,457.7784106763974,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,3,0.0125,0.0,0.0
1514.2191632869565,495.8984106763974,1591.1991632869565,199.6084106763974,1520.2391632869565,457.66841067639746,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,4,0.016666666666666666,0.0,0.0
1514.4591632869565,495.74841067639744,1591.3191632869564,199.6184106763974,1520.2491632869564,457.66841067639746,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,5,0.020833333333333332,0.0,0.0
1514.1191632869563,495.6384106763974,1591.2191632869565,199.62841067639738,1520.2091632869565,457.6384106763974,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,6,0.025,0.0,0.0
1514.2391632869565,495.7684106763974,1591.3591632869563,199.8684106763974,1520.1991632869565,457.6584106763974,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,7,0.029166666666666667,0.0,0.0
1514.3591632869563,495.69841067639743,1591.2291632869565,199.68841067639744,1520.3491632869564,457.74841067639744,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,8,0.03333333333333333,0.0,0.0
1514.2691632869564,495.7084106763974,1591.2491632869564,199.63841067639748,1520.3491632869564,457.68841067639744,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,9,0.0375,0.0,0.0
1514.2491632869564,495.7084106763974,1591.2391632869565,199.70841067639742,1520.3491632869564,457.68841067639744,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,10,0.041666666666666664,0.0,0.0
1514.1291632869563,495.7084106763974,1591.2491632869564,199.7384106763974,1520.3491632869564,457.68841067639744,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,11,0.04583333333333333,0.0,0.0
1514.3091632869564,495.7084106763974,1591.2691632869564,199.67841067639745,1520.3491632869564,457.68841067639744,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,12,0.05,0.0,0.0
1514.3391632869564,495.7284106763974,1591.1991632869565,199.75841067639738,1520.3491632869564,457.68841067639744,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,13,0.05416666666666667,0.0,0.0
1514.2391632869565,495.5984106763974,1591.3191632869564,199.66841067639746,1520.3491632869564,457.68841067639744,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,14,0.058333333333333334,0.0,0.0
1514.2791632869564,495.66841067639746,1591.1591632869565,199.5984106763974,1520.3491632869564,457.68841067639744,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,15,0.0625,0.0,0.0
1514.1691632869565,495.75841067639743,1591.3591632869563,199.75841067639738,1520.3491632869564,457.68841067639744,1479.2191632869565,129.58841067639742,1347.1991632869565,121.74841067639738,-28.740836713043475,851.6984106763974,-28.740836713043475,851.6984106763974,240,4,30,39,0.029,9.80665,1610,16,0.06666666666666667,0.0,0.0
